TheTime	B_DO	B_K	B_LevelControl_in	B_LevelControl_out	B_MFC	B_NH4	B_pH	B_Pump_acid	B_Pump_base	B_Pump_effluent	B_Pump_effluent_speed	B_Pump_influent	B_Pump_influent_speed	B_Stirrer	B_T_DO	B_T_ISE	B_Valve_air	B_Valve_N2	B_slopeNH4
42424.78329	0	0.479	-0.41		0	26.1	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02559819
42424.78335	0	0.479	-0.41		0	26.1	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02597117
42424.78341	0	0.479	-0.41		0	26.2	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02632914
42424.78347	0	0.479	-0.41		0	26.2	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02667194
42424.78352	0	0.479	-0.41		0	26.2	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02699966
42424.78358	0	0.478	-0.41		0	26.3	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02731184
42424.78364	0	0.478	-0.40		0	26.3	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02760842
42424.78370	0	0.478	-0.41		0	26.3	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02788966
42424.78376	0	0.477	-0.41		0	26.3	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02815530
42424.78381	0	0.477	-0.41		0	26.4	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02840480
42424.78387	0	0.477	-0.41		0	26.4	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02863830
42424.78393	0	0.476	-0.40		0	26.4	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02885583
42424.78399	0	0.476	-0.41		0	26.4	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02905718
42424.78405	0	0.475	-0.41		0	26.5	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02924206
42424.78410	0	0.475	-0.41		0	26.5	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02941046
42424.78416	0	0.474	-0.40		0	26.5	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02956265
42424.78422	0	0.474	-0.40		0	26.5	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02969825
42424.78428	0	0.474	-0.40		0	26.5	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02981731
42424.78434	0	0.473	-0.41		0	26.6	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.02991994
42424.78439	0	0.473	-0.41		0	26.6	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.03000569
42424.78445	0	0.472	-0.40		0	26.6	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.03007438
42424.78451	0	0.472	-0.41		0	26.6	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.03012609
42424.78457	0	0.471	-0.41		0	26.6	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.03016095
42424.78463	0	0.471	-0.41		0	26.6	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.03017864
42424.78468	0	0.470	-0.41		0	26.7	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.03017939
42424.78474	0	0.470	-0.41		0	26.7	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.03016280
42424.78480	0	0.469	-0.41		0	26.7	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.03012891
42424.78486	0	0.469	-0.41		0	26.7	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.03007770
42424.78492	0	0.468	-0.40		0	26.7	7.19	0	0	0	2.67	0	1.12	1.0	22.2	19.8	0	0	-0.03000891
